Date,"Walking + Running" (mi),Workout Type, DURATION
"1/27/23","0.82",,
"1/28/23","0.37","Functional Strength Training","2h 3m"
"1/29/23","8.82","Functional Strength Training","1h 25m"
"1/30/23","0.68",,
"1/31/23","1.67","Functional Strength Training","30m"
"2/1/23","2.72","Functional Strength Training","43m"
"2/2/23","0.23",,
"2/3/23","1.09",,
"2/4/23","0.41",,
"2/5/23","0.27",,
"2/6/23","4.1","Functional Strength Training","16m"
"2/6/23",,"Functional Strength Training","1h 1m"
"2/7/23","3.35","Functional Strength Training","1h 9m"
"2/8/23","3.36","Running","15m"
"2/9/23","1.12",,
"2/10/23","3.58",,
"2/11/23","2.89","Functional Strength Training","27m"
"2/12/23","0.89",,
"2/13/23","1.78","Functional Strength Training","3m"
"2/13/23",,"Functional Strength Training","21m"
"2/14/23","2.22","Functional Strength Training","1h 5m"
"2/15/23","2.26","Functional Strength Training","47m"
"2/16/23","1.26","Functional Strength Training","29m"
"2/17/23","1.24","Functional Strength Training","31m"
"2/18/23","0.25",,
"2/19/23","0.38",,
"2/20/23","0.79","Functional Strength Training","26m"
"2/21/23","2.17","Functional Strength Training","40m"
"2/22/23","1.95","Functional Strength Training","7m"
"2/22/23",,"Functional Strength Training","28m"
"2/23/23","0.94","Functional Strength Training","28m"
"2/24/23","1.02",,
"2/25/23","0.98","Functional Strength Training","25m"
"2/26/23","0.97","Functional Strength Training","21m"
"2/27/23","1.51","Functional Strength Training","28m"
"2/28/23","1.52","Functional Strength Training","6m"
"3/1/23","2.07","Functional Strength Training","18m"
"3/1/23",,"Running","6m"
"3/2/23","1.78","Functional Strength Training","16m"
"3/2/23",,"Functional Strength Training","25m"
"3/3/23","1.31","Functional Strength Training","6m"
"3/4/23","2.35","Functional Strength Training","40m"
"3/5/23","2.52","Functional Strength Training","33m"
"3/6/23","0.49",,
"3/7/23","1.02",,
"3/8/23","0.43",,
"3/9/23","4.9","Running","30m"
"3/10/23","3.14","Functional Strength Training","32m"
"3/11/23","2.44","Functional Strength Training","39m"
"3/12/23","1.88","Functional Strength Training","31m"
"3/13/23","0.73",,
"3/14/23","0.54",,
"3/15/23","2.16","Functional Strength Training","30m"
"3/16/23","2.93","Functional Strength Training","30m"
"3/17/23","4.39","Functional Strength Training","30m"
"3/18/23","2.48","Functional Strength Training","7m"
"3/19/23","2.79",,
"3/20/23","2.4","Functional Strength Training","19m"
"3/21/23","0.27",,
"3/22/23","4.18","Functional Strength Training","7m"
"3/22/23",,"Functional Strength Training","23m"
"3/23/23","6.26",,
"3/24/23","5.32",,
"3/25/23","1.62",,
"3/26/23","0.88",,
"3/27/23","0.57",,
"3/28/23","0.07",,
"3/29/23","2.5","Functional Strength Training","26m"
"3/30/23","1.94","Functional Strength Training","26m"
"3/31/23","1.81",,
"4/1/23","1.77","Functional Strength Training","39m"
"4/2/23","3.2","Functional Strength Training","24m"
"4/3/23","2.5","Functional Strength Training","34m"
"4/4/23","1.92","Running","7m"
"4/4/23",,"Functional Strength Training","26m"
"4/5/23","1.64","Functional Strength Training","39m"
"4/6/23","1.66","Running","6m"
"4/7/23","0.98",,
"4/8/23","4.79","Running","20m"
"4/9/23","0.72",,
"4/10/23","2.66","Functional Strength Training","13m"
"4/10/23",,"Functional Strength Training","9m"
"4/11/23","1.37","Functional Strength Training","33m"
"4/12/23","1.3",,
"4/13/23","4.94","Running","30m"
"4/14/23","3.44",,
"4/15/23","4.02",,
"4/16/23","3.75",,
"4/17/23","3.81",,
"4/18/23","1.03",,
"4/19/23","3.99","Running","13m"
"4/19/23",,"Functional Strength Training","9m"
"4/20/23","3.28","Running","13m"
"4/20/23",,"Functional Strength Training","16m"
"4/21/23","0.53",,
"4/22/23","1.19",,
"4/23/23","0.13",,
"4/24/23","4.79","Functional Strength Training","9m"
"4/24/23",,"Running","14m"
"4/24/23",,"Functional Strength Training","52m"
"4/25/23","2.16","Functional Strength Training","0m"
"4/26/23","0.54",,
"4/27/23","5.72","Functional Strength Training","20m"
"4/27/23",,"Running","30m"
"4/28/23","1.26",,
"4/29/23","0.1",,
"4/30/23","3.93","Functional Strength Training","1h 16m"
"4/30/23",,"Functional Strength Training","21m"
"5/1/23","0.53",,
"5/2/23","1.92",,
"5/3/23","0.48",,
"5/4/23","3.38","Functional Strength Training","35m"
"5/5/23","0.65",,
"5/6/23","0.79",,
"5/7/23","0.41",,
"5/8/23","1.37",,
"5/9/23","1.71","Functional Strength Training","43m"
"5/10/23","1.62","Functional Strength Training","29m"
"5/11/23","2.82","Running","11m"
"5/11/23",,"Functional Strength Training","2m"
